time,lat,lon,alt,speed,direction,h_acc,v_acc,x,y,x_kf,y_kf,vx_kf,vy_kf,lon_kf,lat_kf,speed_kf,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,is_moving_sensor,dt,is_stationary_instant,stationary_duration_s,is_stationary,moving_combined,moving_smoothed,trip_change
73.96888138,23.20161603,79.91261819,411.9647443,0.0,,5.206142426,5.415038586,8895831.964868091,2656418.963803842,8895840.091310488,2656433.326990726,0.3617054300276348,0.9190252504679739,79.9126911910741,23.201734621516202,0.9876427639127411,2.30501771,-2.585737944,9.133280754,-0.8455530405,1.950630903,1.125317931,9.768109576056249,2.4054648843555193,1,0.9992605799999978,0,0.0,0,1,1,0.0
74.96960851,23.20161111,79.91260135,410.091215,0.0,,5.206697941,5.239782333,8895830.090247866,2656418.367919339,8895836.137272544,2656427.6334790573,-0.7716778036301788,-0.8176023628457372,79.91265567134691,23.201687612310934,1.1242598704687583,3.348889589,-0.4118026793,8.563461304,-0.6708498001,0.04487423226,1.006008387,9.204211668095027,1.210002489968296,1,1.0007271300000014,0,0.0,0,1,1,0.0
75.96886596,23.20161213,79.91259911,410.5611866,0.0,,5.530269623,5.274904251,8895829.840892207,2656418.4914563685,8895833.078706268,2656423.3699263525,-1.373388756608511,-1.7242105768781602,79.91262819577858,23.20165240973341,2.2043363604942847,1.907580256,-0.3112462163,7.591414928,0.5755086541,0.7266429663,1.453419089,7.833601805638536,1.7238466462208424,1,0.9992574500000018,0,0.0,0,1,1,0.0
76.96957934,23.20160223,79.91257103,407.1346825,0.0,,5.416418552,4.836718559,8895826.715040905,2656417.2924205326,8895829.644164102,2656419.8474369156,-1.9159936035960046,-2.1975140810332836,79.91259734276136,23.20162332583416,2.9154930329809328,0.8541314602,-1.139639974,10.22024822,-0.5004075766,0.1151816323,-0.3117227852,10.319001574767555,0.6007042916034666,1,1.0007133799999934,0,0.0,0,1,1,0.0
77.96867643,23.20160362,79.91257452,407.5846325,0.0,,5.720757961,4.591537952,8895827.103545928,2656417.460770003,8895827.47171919,2656417.573120955,-1.9840408684269977,-2.218279236342087,79.91257782735669,23.201604547640706,2.9761016343490336,0.8158242106,-0.1436520964,9.133280754,-0.03062633052,-0.1245026886,-0.009187898599,9.17077000032102,0.12854302419973773,1,0.9990970900000065,0,0.0,0,1,1,0.0
78.96875044,23.20160197,79.91256828,407.2687167,0.0,,6.206511497,4.439146996,8895826.408912307,2656417.260930704,8895825.867097612,2656416.1399653587,-1.8839736986491502,-2.0112493592435463,79.91256341279579,23.201592714598775,2.7558085714104554,1.596333981,-0.8762778044,10.00955868,-0.1616537571,-0.0264984332,-0.003861580743,10.173859146741846,0.16385669334035569,1,1.0000740099999916,0,0.0,0,1,1,0.0
79.96867908,23.20160197,79.91256828,407.2687167,0.0,,7.089234829,4.443861961,8895826.408912307,2656417.260930704,8895824.982161853,2656415.4186712303,-1.620616759291683,-1.6711956268480526,79.91255546328262,23.201586759136397,2.3279376073454228,1.807023764,-0.1963245422,9.626486778,-0.009321057238,0.03741738573,0.0675110817,9.796587461791967,0.07774759813142626,1,0.9999286400000074,0,0.0,0,1,1,0.0
80.96872528,23.20159971,79.91255824,406.0784126,0.0,,7.930669308,4.397330761,8895825.291264618,2656416.9872114253,8895824.156031879,2656415.0813390533,-1.411145036785143,-1.3195264449524207,79.91254804203079,23.201583973907635,1.9319628241175129,1.452681899,0.09097966552,9.118915558,-0.07749792933,0.05339634046,-0.01877527125,9.23434799827009,0.09596670795369082,1,1.0000461999999999,0,0.0,0,1,1,0.0
81.96937361,23.20159584,79.91254722,404.7274642,0.0,,8.348304749,4.282896519,8895824.06452383,2656416.5184974503,8895823.287720008,2656414.896396944,-1.2678059511481259,-1.0202096840598145,79.91254024185254,23.201582446908056,1.6273167267671131,2.147000313,0.2011129409,9.478046417,0.02157158963,0.02676474862,0.08242477477,9.72025826003744,0.0893058158450061,1,1.0006483300000042,0,0.0,0,1,1,0.0
82.96886507,23.20159465,79.91254338,404.0328855,0.0,,10.09305286,4.658244133,8895823.637056984,2656416.3743709335,8895822.685936749,2656414.904787118,-1.0924110979899702,-0.7492056324308238,79.91253483594154,23.20158251618267,1.3246399837985123,2.15657711,0.2298433632,9.913790703,-0.04127896577,0.06404897571,0.08455529809,10.148246099985567,0.11382364754140398,1,0.9994914600000016,0,0.0,0,1,1,0.0
83.96926523,23.20159279,79.91253452,402.960623,0.0,,12.19474411,5.032087326,8895822.650766294,2656416.1490975562,8895822.028476173,2656414.9760258123,-0.9776453959296175,-0.5328621655590389,79.9125289298727,23.201583104374595,1.113432803390778,1.443105102,-0.4596867263,10.00477028,-0.03169159219,0.01185105834,-0.09760478139,10.11875943865285,0.10330294259848091,1,1.000400159999998,0,0.0,0,1,1,0.0
84.9689483,23.20159637,79.91254256,403.7535281,0.0,,13.49009895,5.434355736,8895823.545775004,2656416.5826882524,8895822.077851273,2656415.323821998,-0.7070118474652433,-0.30077146883812067,79.91252937341677,23.201585976000885,0.7683288546730865,1.285087705,-0.05746084079,9.698312759,-0.04554001987,-0.02543316968,-0.0123836901,9.783252144821203,0.0536105895343868,1,0.999683069999989,0,0.0,0,1,1,0.0
85.96960143,23.20159559,79.91253855,403.2604265,0.0,,16.15442657,5.843938828,8895823.099383842,2656416.4882187704,8895822.082115075,2656415.6260646973,-0.5194039274342543,-0.1417702909706778,79.91252941171915,23.20158847150859,0.5384043603427063,1.347337008,0.7469909191,9.334393501,-0.078563191,0.03528685868,0.005725792143,9.46066670366604,0.08631408964514202,1,1.0006531300000034,0,0.0,0,1,1,0.0
86.96933674,23.20159481,79.91253243,402.3951333,0.0,,17.29146957,6.093121052,8895822.41810856,2656416.3937492883,8895821.914851531,2656415.8586246334,-0.42661833730924786,-0.043109260669522614,79.91252790916518,23.201590391671118,0.42879087453440523,3.095104218,-0.5027823448,9.918579102,1.630119681,-0.5676523447,0.9836378098,10.402435849797639,1.986721595920045,1,0.9997353100000055,0,0.0,0,1,1,0.0
87.96895392,23.20159397,79.91252128,402.2410236,0.0,,17.39715576,6.252360344,8895821.17689624,2656416.292012925,8895821.360208668,2656416.011612213,-0.4604079964362447,0.00857651195981523,79.91252292672357,23.201591654833717,0.46048787143619097,-0.8649053574,2.595314741,9.655217171,0.0002663159103,0.3079943359,0.2283658981,10.035284674650958,0.3834208722613646,1,0.9996171800000013,0,0.0,0,1,1,0.0
88.96902502,23.20159269,79.9125245,402.5037176,0.0,,16.99227142,6.410072327,8895821.535345,2656416.1369860843,8895821.161334967,2656416.068256172,-0.39146021900655376,0.02124669272386341,79.91252114021071,23.201592122522204,0.3920363822610872,-0.2136825025,2.691082716,9.248202324,-0.03169159219,-0.02117211558,-0.02836264484,9.634149294144636,0.0475084741492518,1,1.0000710999999995,0,0.0,0,1,1,0.0
89.96868163,23.20159114,79.91252327,402.1422677,0.0,,14.05700779,6.613906384,8895821.398422023,2656415.949258274,8895821.028603937,2656416.0317872795,-0.3232956973964088,0.006035024045970394,79.9125199478676,23.201591821411874,0.3233520209775497,1.744774461,-0.4979939461,9.875483513,0.3304980397,0.3356912136,2.504834175,10.040787344907018,2.5487471018878503,1,0.9996566100000024,0,0.0,0,1,1,0.0
90.96895361,23.20159114,79.91252327,402.1422677,0.0,,15.03263855,6.861998558,8895821.398422023,2656415.949258274,8895820.990515003,2656416.001373781,-0.24809339296204663,-0.0035730632061189895,79.91251960570887,23.201591570298717,0.248119121415693,-4.259883404,8.398859978,4.033631325,-0.1265000552,-0.01691105962,0.1069258377,10.244883465015405,0.16649739538779873,1,1.0002719799999937,0,0.0,0,1,1,0.0
