"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.791829760E-1,-9.654618502E-1,-3.256114423E-1,9.779715538E0
2.811889140E-1,-9.415197968E-1,-3.351882398E-1,9.770138741E0
2.831953200E-1,-9.223662019E-1,-3.303998411E-1,9.760561943E0
2.852021430E-1,-9.510966539E-1,-3.303998411E-1,9.731831551E0
2.872092780E-1,-9.223662019E-1,-3.208230138E-1,9.712677956E0
2.892166740E-1,-9.319429994E-1,-3.351882398E-1,9.750985146E0
2.912242260E-1,-9.415197968E-1,-3.399766386E-1,9.770138741E0
2.932318300E-1,-9.271546006E-1,-3.399766386E-1,9.770138741E0
2.952448510E-1,-9.271546006E-1,-3.351882398E-1,9.779715538E0
2.972453720E-1,-9.127894044E-1,-3.591302633E-1,9.760561943E0
2.992458930E-1,-9.606734514E-1,-3.495534360E-1,9.779715538E0
3.012467780E-1,-8.792705536E-1,-3.495534360E-1,9.798869133E0
3.032482360E-1,-9.080010056E-1,-3.495534360E-1,9.774927139E0
3.052503720E-1,-9.223662019E-1,-3.639186621E-1,9.746196747E0
3.072541740E-1,-9.175778031E-1,-3.543418646E-1,9.712677956E0
3.092579760E-1,-9.175778031E-1,-3.351882398E-1,9.727043152E0
3.112626640E-1,-9.415197968E-1,-3.734954596E-1,9.798869133E0
3.132682360E-1,-9.319429994E-1,-3.399766386E-1,9.774927139E0
3.152746430E-1,-8.649053574E-1,-3.543418646E-1,9.755773544E0
3.172818300E-1,-8.984242082E-1,-3.351882398E-1,9.755773544E0
3.192896950E-1,-9.223662019E-1,-3.543418646E-1,9.765350342E0
3.212981320E-1,-9.127894044E-1,-3.256114423E-1,9.765350342E0
3.233069860E-1,-8.936358094E-1,-3.447650373E-1,9.794080734E0
3.253161010E-1,-9.080010056E-1,-3.495534360E-1,9.765350342E0
3.273253200E-1,-8.936358094E-1,-3.160346150E-1,9.741408348E0
3.293340700E-1,-9.223662019E-1,-3.591302633E-1,9.755773544E0
3.313396430E-1,-9.032126069E-1,-3.016694188E-1,9.779715538E0
3.333451640E-1,-9.127894044E-1,-3.303998411E-1,9.760561943E0
3.353479760E-1,-8.792705536E-1,-3.016694188E-1,9.755773544E0
3.373509970E-1,-8.553285599E-1,-2.968810201E-1,9.741408348E0
3.393542780E-1,-9.319429994E-1,-3.160346150E-1,9.784503937E0
3.413579240E-1,-9.080010056E-1,-2.825157940E-1,9.779715538E0
3.433619860E-1,-8.936358094E-1,-3.016694188E-1,9.808445930E0
3.453667780E-1,-8.984242082E-1,-2.729389966E-1,9.846753120E0
3.473740700E-1,-8.744821548E-1,-2.920926213E-1,9.861118317E0
3.493816740E-1,-8.840589523E-1,-2.920926213E-1,9.765350342E0
