"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.614141740E-1,-3.994738683E-3,4.394212738E-3,1.464737463E-3
3.634160490E-1,-2.929474926E-3,5.459476262E-3,2.530001104E-3
3.654185490E-1,-3.994738683E-3,4.394212738E-3,3.994738800E-4
3.674217780E-1,-3.994738683E-3,3.328948980E-3,1.464737463E-3
3.694257890E-1,-1.864211401E-3,4.394212738E-3,1.464737463E-3
3.714305800E-1,-1.864211401E-3,5.459476262E-3,1.464737463E-3
3.734365180E-1,-2.929474926E-3,6.524739787E-3,2.530001104E-3
3.754424550E-1,-1.864211401E-3,3.328948980E-3,2.530001104E-3
3.774491220E-1,-3.994738683E-3,4.394212738E-3,1.464737463E-3
3.794564140E-1,-3.994738683E-3,4.394212738E-3,-6.657897611E-4
3.814642780E-1,-1.864211401E-3,6.524739787E-3,1.464737463E-3
3.834725590E-1,-3.994738683E-3,8.655266836E-3,2.530001104E-3
3.854811530E-1,-6.125265732E-3,8.655266836E-3,-6.657897611E-4
3.874899030E-1,-1.864211401E-3,5.459476262E-3,3.994738800E-4
3.894987050E-1,-2.929474926E-3,6.524739787E-3,1.464737463E-3
3.915059450E-1,-2.929474926E-3,7.590003312E-3,1.464737463E-3
3.935114660E-1,-2.929474926E-3,8.655266836E-3,3.994738800E-4
3.955142780E-1,-3.994738683E-3,6.524739787E-3,-6.657897611E-4
3.975172990E-1,-1.864211401E-3,8.655266836E-3,3.994738800E-4
3.995205800E-1,-2.929474926E-3,8.655266836E-3,3.994738800E-4
4.015242260E-1,-3.994738683E-3,9.720530361E-3,-6.657897611E-4
4.035282890E-1,-1.864211401E-3,1.291632187E-2,-2.796316985E-3
4.055328200E-1,1.331579522E-3,8.655266836E-3,3.994738800E-4
4.075378200E-1,-3.994738683E-3,5.459476262E-3,-6.657897611E-4
4.095433410E-1,-9.321057238E-3,5.459476262E-3,-1.731053460E-3
4.115502680E-1,-2.929474926E-3,3.328948980E-3,-6.657897611E-4
4.135571950E-1,8.788425475E-3,5.459476262E-3,-6.657897611E-4
4.155644340E-1,2.396843163E-3,1.930790395E-2,3.994738800E-4
4.175718820E-1,-3.994738683E-3,2.037316747E-2,-1.731053460E-3
4.195794860E-1,-1.864211401E-3,6.524739787E-3,3.994738800E-4
4.215871430E-1,-2.929474926E-3,1.198421582E-3,1.464737463E-3
4.235946430E-1,2.663159103E-4,1.198421582E-3,-1.731053460E-3
4.256001640E-1,3.462106921E-3,7.590003312E-3,-2.796316985E-3
4.276111010E-1,-3.994738683E-3,1.398158539E-2,-1.731053460E-3
4.296112570E-1,-8.255792782E-3,8.655266836E-3,-1.731053460E-3
4.316116220E-1,1.331579522E-3,-9.321057005E-4,-1.731053460E-3
4.336123510E-1,4.527370445E-3,4.394212738E-3,3.994738800E-4
4.356136530E-1,-1.864211401E-3,1.398158539E-2,3.994738800E-4
4.376156840E-1,-8.255792782E-3,1.185105834E-2,-6.657897611E-4
4.396185490E-1,-1.864211401E-3,-9.321057005E-4,-6.657897611E-4
4.416214140E-1,3.462106921E-3,-6.258423906E-3,3.994738800E-4
4.436252680E-1,-7.989477599E-4,2.263685223E-3,3.994738800E-4
4.456301640E-1,-3.994738683E-3,1.078579482E-2,-6.657897611E-4
4.476361010E-1,-1.864211401E-3,8.655266836E-3,3.994738800E-4
4.496429760E-1,-7.989477599E-4,1.331579551E-4,3.994738800E-4
4.516507360E-1,1.331579522E-3,-3.062632866E-3,1.464737463E-3
4.536592260E-1,1.331579522E-3,-9.321057005E-4,2.530001104E-3
4.556683410E-1,-1.864211401E-3,4.394212738E-3,1.464737463E-3
4.576778720E-1,-2.929474926E-3,3.328948980E-3,3.994738800E-4
4.596876640E-1,-1.864211401E-3,-4.127896391E-3,3.994738800E-4
4.616975070E-1,1.331579522E-3,-7.323687430E-3,1.464737463E-3
4.637055280E-1,-7.989477599E-4,-1.997369342E-3,3.994738800E-4
4.657110490E-1,-1.864211401E-3,2.263685223E-3,3.994738800E-4
4.677138610E-1,-7.989477599E-4,-9.321057005E-4,1.464737463E-3
4.697168820E-1,2.396843163E-3,-4.127896391E-3,1.464737463E-3
4.717201640E-1,-7.989477599E-4,-3.062632866E-3,2.530001104E-3
4.737238090E-1,-1.864211401E-3,-5.193160381E-3,1.464737463E-3
4.757278720E-1,-7.989477599E-4,-8.388951421E-3,1.464737463E-3
4.777324030E-1,1.331579522E-3,-6.258423906E-3,3.994738800E-4
4.797369340E-1,3.462106921E-3,-6.258423906E-3,3.994738800E-4
4.817419860E-1,2.396843163E-3,-1.997369342E-3,3.994738800E-4
4.837475590E-1,2.663159103E-4,-1.997369342E-3,3.994738800E-4
4.857536530E-1,2.396843163E-3,-5.193160381E-3,2.530001104E-3
4.877602160E-1,4.527370445E-3,-6.258423906E-3,1.464737463E-3
4.897671950E-1,3.462106921E-3,-7.323687430E-3,1.464737463E-3
4.917744860E-1,3.462106921E-3,-6.258423906E-3,1.464737463E-3
4.937820390E-1,2.396843163E-3,-5.193160381E-3,-6.657897611E-4
4.957897470E-1,2.396843163E-3,-9.454214945E-3,3.994738800E-4
4.977975070E-1,5.592633970E-3,-9.454214945E-3,3.994738800E-4
4.998106840E-1,5.592633970E-3,-4.127896391E-3,-1.731053460E-3
5.018108410E-1,2.396843163E-3,-5.193160381E-3,-6.657897611E-4
5.038112050E-1,2.396843163E-3,-5.193160381E-3,3.994738800E-4
5.058119340E-1,1.331579522E-3,-6.258423906E-3,-1.731053460E-3
5.078132360E-1,3.462106921E-3,-8.388951421E-3,3.994738800E-4
5.098152680E-1,2.396843163E-3,-7.323687430E-3,3.994738800E-4
5.118181320E-1,2.396843163E-3,-5.193160381E-3,-6.657897611E-4
5.138218820E-1,3.462106921E-3,-3.062632866E-3,-6.657897611E-4
5.158265700E-1,3.462106921E-3,-3.062632866E-3,-6.657897611E-4
5.178312570E-1,3.462106921E-3,-7.323687430E-3,-6.657897611E-4
5.198369340E-1,4.527370445E-3,-7.323687430E-3,3.994738800E-4
5.218435490E-1,3.462106921E-3,-4.127896391E-3,3.994738800E-4
5.238509970E-1,1.331579522E-3,-5.193160381E-3,1.464737463E-3
5.258591740E-1,4.527370445E-3,-5.193160381E-3,1.464737463E-3
5.278679240E-1,1.331579522E-3,-4.127896391E-3,3.994738800E-4
5.298771430E-1,1.331579522E-3,-5.193160381E-3,3.994738800E-4
5.318866220E-1,2.396843163E-3,-5.193160381E-3,3.994738800E-4
5.338962050E-1,1.331579522E-3,-4.127896391E-3,-6.657897611E-4
5.359051110E-1,1.331579522E-3,-3.062632866E-3,1.464737463E-3
5.379106320E-1,3.462106921E-3,-4.127896391E-3,3.994738800E-4
5.399134450E-1,2.663159103E-4,-4.127896391E-3,-6.657897611E-4
5.419164660E-1,1.331579522E-3,-4.127896391E-3,3.994738800E-4
5.439197470E-1,2.396843163E-3,-4.127896391E-3,3.994738800E-4
5.459233930E-1,1.331579522E-3,-3.062632866E-3,1.464737463E-3
5.479274550E-1,2.663159103E-4,-1.997369342E-3,3.994738800E-4
5.499319860E-1,2.396843163E-3,-1.997369342E-3,-6.657897611E-4
5.519369860E-1,2.396843163E-3,-3.062632866E-3,-6.657897611E-4
